ts_code,trade_time,open,close,high,low,vol,amount
000001.SZ,2020-09-14 09:30:00,15.01,15.04,15.04,15.01,1078527.0,16189272.54
000001.SZ,2020-09-14 09:31:00,15.04,15.06,15.08,15.02,1136100.0,17102279.0
000001.SZ,2020-09-14 09:32:00,15.07,15.04,15.1,15.04,1011200.0,15253113.0
000001.SZ,2020-09-14 09:33:00,15.05,15.06,15.08,15.04,719300.0,10828826.0
000001.SZ,2020-09-14 09:34:00,15.07,15.01,15.07,15.01,743000.0,11172957.0
000001.SZ,2020-09-14 09:35:00,15.03,15.01,15.03,15.0,469800.0,7054310.23
000001.SZ,2020-09-14 09:36:00,15.03,15.01,15.06,15.01,358200.0,5386573.0
000001.SZ,2020-09-14 09:37:00,15.01,15.02,15.03,15.01,433200.0,6505214.0
000001.SZ,2020-09-14 09:38:00,15.02,15.0,15.02,14.98,439400.0,6594346.0
000001.SZ,2020-09-14 09:39:00,14.99,14.95,15.01,14.95,486500.0,7284408.25
000001.SZ,2020-09-14 09:40:00,14.95,14.97,14.97,14.94,508285.0,7601086.75
000001.SZ,2020-09-14 09:41:00,14.98,14.96,14.99,14.96,314700.0,4709377.0
000001.SZ,2020-09-14 09:42:00,14.96,14.93,14.97,14.93,528068.0,7888963.6
000001.SZ,2020-09-14 09:43:00,14.92,14.96,14.97,14.92,325700.0,4866328.0
000001.SZ,2020-09-14 09:44:00,14.96,14.98,14.98,14.95,253800.0,3796271.0
000001.SZ,2020-09-14 09:45:00,14.97,15.01,15.01,14.97,255800.0,3832670.0
000001.SZ,2020-09-14 09:46:00,15.02,14.99,15.04,14.99,308275.0,4632444.75
000001.SZ,2020-09-14 09:47:00,15.01,15.0,15.01,14.98,311640.0,4669351.2
000001.SZ,2020-09-14 09:48:00,15.01,14.99,15.01,14.99,173400.0,2600539.0
000001.SZ,2020-09-14 09:49:00,15.0,14.98,15.0,14.98,229560.0,3439630.8
000001.SZ,2020-09-14 09:50:00,14.97,14.99,14.99,14.97,206040.0,3085682.2
000001.SZ,2020-09-14 09:51:00,15.0,15.0,15.0,14.97,172700.0,2589156.0
000001.SZ,2020-09-14 09:52:00,15.0,15.0,15.0,14.97,299985.0,4494534.45
000001.SZ,2020-09-14 09:53:00,14.99,14.98,15.0,14.97,148800.0,2229525.0
000001.SZ,2020-09-14 09:54:00,14.97,14.99,15.0,14.97,159960.0,2396105.8
000001.SZ,2020-09-14 09:55:00,15.0,15.0,15.0,14.98,122800.0,1841154.0
000001.SZ,2020-09-14 09:56:00,15.0,15.04,15.04,14.99,302300.0,4539066.0
000001.SZ,2020-09-14 09:57:00,15.04,15.05,15.05,15.04,180030.0,2709266.2
000001.SZ,2020-09-14 09:58:00,15.05,15.05,15.05,15.02,357800.0,5381611.0
000001.SZ,2020-09-14 09:59:00,15.05,15.03,15.05,15.02,184000.0,2766911.0
000001.SZ,2020-09-14 10:00:00,15.03,15.03,15.04,15.03,140200.0,2108109.0
000001.SZ,2020-09-14 10:01:00,15.04,15.01,15.04,15.01,164700.0,2474281.0
000001.SZ,2020-09-14 10:02:00,15.01,15.02,15.03,15.01,102600.0,1540781.0
000001.SZ,2020-09-14 10:03:00,15.02,15.03,15.03,15.01,219400.0,3295488.0
000001.SZ,2020-09-14 10:04:00,15.02,15.02,15.02,15.01,175800.0,2639730.0
000001.SZ,2020-09-14 10:05:00,15.02,15.03,15.04,15.02,142900.0,2147736.0
000001.SZ,2020-09-14 10:06:00,15.04,15.03,15.05,15.03,252000.0,3790520.0
000001.SZ,2020-09-14 10:07:00,15.03,15.01,15.04,15.01,133100.0,1999381.0
000001.SZ,2020-09-14 10:08:00,15.03,15.03,15.04,15.01,111000.0,1668479.0
000001.SZ,2020-09-14 10:09:00,15.03,15.05,15.05,15.03,198700.0,2989006.8
000001.SZ,2020-09-14 10:10:00,15.05,15.04,15.05,15.03,112300.0,1688977.0
000001.SZ,2020-09-14 10:11:00,15.03,15.06,15.06,15.03,401820.0,6049430.0
000001.SZ,2020-09-14 10:12:00,15.06,15.05,15.06,15.04,195900.0,2949947.8
000001.SZ,2020-09-14 10:13:00,15.06,15.04,15.06,15.04,115300.0,1735865.0
000001.SZ,2020-09-14 10:14:00,15.05,15.04,15.05,15.03,86380.0,1299515.0
000001.SZ,2020-09-14 10:15:00,15.05,15.04,15.05,15.03,251700.0,3785232.0
000001.SZ,2020-09-14 10:16:00,15.04,15.02,15.04,15.01,214800.0,3226937.0
000001.SZ,2020-09-14 10:17:00,15.01,15.01,15.03,15.01,73600.0,1105028.0
000001.SZ,2020-09-14 10:18:00,15.01,15.02,15.02,14.99,281400.0,4222467.0
000001.SZ,2020-09-14 10:19:00,15.0,15.0,15.02,15.0,132500.0,1987942.0
000001.SZ,2020-09-14 10:20:00,15.0,14.98,15.0,14.97,484900.0,7264381.0
000001.SZ,2020-09-14 10:21:00,14.97,14.97,14.98,14.95,378900.0,5668779.0
000001.SZ,2020-09-14 10:22:00,14.98,14.99,14.99,14.96,97400.0,1458894.0
000001.SZ,2020-09-14 10:23:00,14.99,14.98,14.99,14.97,134500.0,2014748.0
000001.SZ,2020-09-14 10:24:00,14.99,14.99,15.02,14.98,134441.0,2016164.59
000001.SZ,2020-09-14 10:25:00,15.0,14.99,15.0,14.99,87880.0,1317802.2
000001.SZ,2020-09-14 10:26:00,14.99,15.02,15.02,14.99,117740.0,1765821.0
000001.SZ,2020-09-14 10:27:00,15.02,15.05,15.05,15.01,121220.0,1822392.2
000001.SZ,2020-09-14 10:28:00,15.04,15.02,15.04,15.0,218800.0,3285770.0
000001.SZ,2020-09-14 10:29:00,15.01,14.98,15.02,14.98,102600.0,1539271.0
000001.SZ,2020-09-14 10:30:00,14.98,14.98,15.0,14.97,234800.0,3517667.0
000001.SZ,2020-09-14 10:31:00,14.97,14.97,14.99,14.96,192300.0,2878996.0
000001.SZ,2020-09-14 10:32:00,14.97,14.97,14.98,14.96,233300.0,3492481.0
000001.SZ,2020-09-14 10:33:00,14.97,14.98,14.98,14.97,205101.0,3071166.97
000001.SZ,2020-09-14 10:34:00,14.97,15.0,15.02,14.97,263600.0,3950380.0
000001.SZ,2020-09-14 10:35:00,15.0,14.99,15.0,14.99,45900.0,688217.0
000001.SZ,2020-09-14 10:36:00,15.0,14.97,15.0,14.97,175799.0,2632970.03
000001.SZ,2020-09-14 10:37:00,14.97,14.97,14.98,14.96,249701.0,3737881.96
000001.SZ,2020-09-14 10:38:00,14.99,14.98,15.0,14.97,91300.0,1368237.0
000001.SZ,2020-09-14 10:39:00,14.99,14.96,14.99,14.96,307899.0,4608248.04
000001.SZ,2020-09-14 10:40:00,14.96,14.97,14.99,14.96,143300.0,2144407.0
000001.SZ,2020-09-14 10:41:00,14.97,14.96,14.97,14.95,320200.0,4789377.0
000001.SZ,2020-09-14 10:42:00,14.96,14.98,14.98,14.95,160320.0,2399291.6
000001.SZ,2020-09-14 10:43:00,14.97,14.99,14.99,14.96,151030.0,2261690.9
000001.SZ,2020-09-14 10:44:00,14.98,14.97,14.98,14.96,92100.0,1379077.0
000001.SZ,2020-09-14 10:45:00,14.97,14.96,14.98,14.95,266400.0,3984746.0
000001.SZ,2020-09-14 10:46:00,14.95,14.95,14.96,14.94,503600.0,7527176.0
000001.SZ,2020-09-14 10:47:00,14.95,14.94,14.95,14.93,153400.0,2291286.0
000001.SZ,2020-09-14 10:48:00,14.93,14.94,14.95,14.93,219400.0,3277117.0
000001.SZ,2020-09-14 10:49:00,14.95,14.95,14.95,14.94,125700.0,1878926.0
000001.SZ,2020-09-14 10:50:00,14.95,14.95,14.96,14.94,74100.0,1107830.0
000001.SZ,2020-09-14 10:51:00,14.95,14.93,14.95,14.93,234800.0,3506979.0
000001.SZ,2020-09-14 10:52:00,14.94,14.95,14.95,14.93,213000.0,3181376.0
000001.SZ,2020-09-14 10:53:00,14.95,14.97,14.97,14.94,156400.0,2339253.0
000001.SZ,2020-09-14 10:54:00,14.97,14.97,14.97,14.95,90100.0,1348434.0
000001.SZ,2020-09-14 10:55:00,14.95,14.96,14.96,14.94,112300.0,1678788.0
000001.SZ,2020-09-14 10:56:00,14.95,14.96,14.96,14.94,55700.0,832930.0
000001.SZ,2020-09-14 10:57:00,14.95,14.96,14.96,14.95,90200.0,1348705.0
000001.SZ,2020-09-14 10:58:00,14.96,14.94,14.96,14.93,448300.0,6695789.0
000001.SZ,2020-09-14 10:59:00,14.95,14.96,14.96,14.94,128300.0,1918586.0
000001.SZ,2020-09-14 11:00:00,14.93,14.96,14.97,14.93,124100.0,1854879.0
000001.SZ,2020-09-14 11:01:00,14.96,14.97,14.97,14.94,209000.0,3122827.0
000001.SZ,2020-09-14 11:02:00,14.95,14.97,14.97,14.95,98900.0,1480053.0
000001.SZ,2020-09-14 11:03:00,14.97,14.97,14.98,14.96,116900.0,1750234.0
000001.SZ,2020-09-14 11:04:00,14.97,14.97,14.97,14.96,65800.0,984867.0
000001.SZ,2020-09-14 11:05:00,14.96,14.97,14.98,14.96,56900.0,851757.0
000001.SZ,2020-09-14 11:06:00,14.97,14.96,14.99,14.96,94496.0,1414908.94
000001.SZ,2020-09-14 11:07:00,14.98,14.99,14.99,14.97,60934.0,912821.48
000001.SZ,2020-09-14 11:08:00,14.97,14.96,14.98,14.96,113497.0,1699320.12
000001.SZ,2020-09-14 11:09:00,14.96,14.97,14.98,14.96,99830.0,1494004.13
000001.SZ,2020-09-14 11:10:00,14.97,14.94,14.97,14.94,172974.0,2586484.89
000001.SZ,2020-09-14 11:11:00,14.94,14.94,14.95,14.93,170348.0,2544558.42
000001.SZ,2020-09-14 11:12:00,14.94,14.94,14.96,14.93,257668.0,3850430.78
000001.SZ,2020-09-14 11:13:00,14.94,14.94,14.96,14.93,101856.0,1521892.89
000001.SZ,2020-09-14 11:14:00,14.96,14.95,14.96,14.93,70777.0,1057751.98
000001.SZ,2020-09-14 11:15:00,14.95,14.95,14.96,14.94,52146.0,779770.21
000001.SZ,2020-09-14 11:16:00,14.96,14.95,14.97,14.95,104003.0,1555933.69
000001.SZ,2020-09-14 11:17:00,14.95,14.97,14.98,14.95,54671.0,818014.74
000001.SZ,2020-09-14 11:18:00,14.98,14.97,14.98,14.97,42200.0,631962.0
000001.SZ,2020-09-14 11:19:00,14.98,14.99,14.99,14.97,151200.0,2265819.0
000001.SZ,2020-09-14 11:20:00,14.98,14.97,14.99,14.97,66600.0,997997.0
000001.SZ,2020-09-14 11:21:00,14.98,14.97,14.99,14.97,74300.0,1112982.0
000001.SZ,2020-09-14 11:22:00,14.97,14.96,14.98,14.96,57100.0,855192.0
000001.SZ,2020-09-14 11:23:00,14.97,14.99,15.0,14.97,104906.0,1572949.94
000001.SZ,2020-09-14 11:24:00,15.0,15.0,15.0,14.98,110400.0,1655766.39
000001.SZ,2020-09-14 11:25:00,15.01,15.01,15.02,15.0,142600.0,2140372.0
000001.SZ,2020-09-14 11:26:00,15.01,15.0,15.02,15.0,135761.0,2037479.0
000001.SZ,2020-09-14 11:27:00,15.02,14.99,15.02,14.99,144100.0,2162879.0
000001.SZ,2020-09-14 11:28:00,15.01,15.0,15.02,14.99,169900.0,2549836.0
000001.SZ,2020-09-14 11:29:00,15.0,15.01,15.02,15.0,70800.0,1063034.99
000001.SZ,2020-09-14 11:30:00,15.03,15.02,15.03,14.99,136200.0,2043485.41
000001.SZ,2020-09-14 13:01:00,14.99,14.97,15.01,14.96,259102.0,3885852.98
000001.SZ,2020-09-14 13:02:00,14.97,15.0,15.0,14.97,24900.0,373045.0
000001.SZ,2020-09-14 13:03:00,15.0,14.98,15.0,14.96,27400.0,410478.0
000001.SZ,2020-09-14 13:04:00,14.99,15.0,15.01,14.99,80042.0,1200412.58
000001.SZ,2020-09-14 13:05:00,15.01,14.99,15.01,14.98,74200.0,1112175.58
000001.SZ,2020-09-14 13:06:00,14.99,15.0,15.01,14.98,80700.0,1210313.0
000001.SZ,2020-09-14 13:07:00,15.01,15.01,15.02,15.0,49500.0,742936.0
000001.SZ,2020-09-14 13:08:00,15.02,14.99,15.02,14.99,73500.0,1102756.0
000001.SZ,2020-09-14 13:09:00,15.0,14.99,15.0,14.98,56200.0,842429.0
000001.SZ,2020-09-14 13:10:00,14.99,14.99,15.0,14.98,31700.0,475180.0
000001.SZ,2020-09-14 13:11:00,14.98,14.97,14.98,14.95,171390.0,2564659.4
000001.SZ,2020-09-14 13:12:00,14.97,14.96,14.99,14.95,81000.0,1211978.1
000001.SZ,2020-09-14 13:13:00,14.96,14.97,14.98,14.95,39700.0,594047.0
000001.SZ,2020-09-14 13:14:00,14.97,14.96,14.98,14.95,77600.0,1161169.0
000001.SZ,2020-09-14 13:15:00,14.98,14.97,14.99,14.96,71900.0,1077307.0
000001.SZ,2020-09-14 13:16:00,14.98,15.01,15.02,14.97,184150.0,2762780.5
000001.SZ,2020-09-14 13:17:00,15.02,15.01,15.02,15.01,180650.0,2712703.0
