ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,19990611,,,,,,,,158332.0,326125.2041
000001.SZ,19990614,,,,,,,,184867.0,380608.3592
000001.SZ,19990615,,,,,,,,435781.0,926959.4117
000001.SZ,19990616,,,,,,,,196010.0,413803.3914
000001.SZ,19990617,,,,,,,,555379.0,1225288.6372
000001.SZ,19990618,,,,,,,,390576.0,877930.0674
000001.SZ,19990621,,,,,,,,210998.0,468788.5601
000001.SZ,19990622,,,,,,,,232048.0,509374.8156
000001.SZ,19990623,,,,,,,,462531.0,1057346.5852
000001.SZ,19990624,,,,,,,,642189.0,1584704.5654
000001.SZ,19990625,,,,,,,,1064996.0,2915463.3929
000001.SZ,19990628,,,,,,,,712004.0,1959130.8833
000001.SZ,19990629,,,,,,,,693185.0,1968177.1799
000001.SZ,19990630,,,,,,,,527922.0,1467349.7465
000001.SZ,19990701,,,,,,,,911775.0,2388650.4453
000001.SZ,19990702,,,,,,,,373249.0,1011374.6855
000001.SZ,19990705,,,,,,,,255793.0,659479.3256
000001.SZ,19990706,,,,,,,,336021.0,799673.9843
000001.SZ,19990707,,,,,,,,244797.0,577377.8019
000001.SZ,19990708,,,,,,,,156405.0,374674.3052
000001.SZ,19990709,,,,,,,,139487.0,328107.7494
000001.SZ,19990712,,,,,,,,269953.0,610903.0716
000001.SZ,19990713,,,,,,,,305130.0,636899.2964
000001.SZ,19990714,,,,,,,,182547.0,383738.9017
000001.SZ,19990715,,,,,,,,115420.0,243590.8892
000001.SZ,19990716,,,,,,,,114687.0,237279.9982
000001.SZ,19990719,,,,,,,,233158.5,458900.5441
000001.SZ,19990720,,,,,,,,230588.0,463506.4747
000001.SZ,19990721,,,,,,,,537645.0,1222162.05
000001.SZ,19990722,,,,,,,,248459.0,553315.7135
000001.SZ,19990723,,,,,,,,128768.0,286185.6449
000001.SZ,19990726,,,,,,,,76758.0,169918.3174
000001.SZ,19990727,,,,,,,,67453.0,147120.4686
000001.SZ,19990728,,,,,,,,65659.0,145157.4749
000001.SZ,19990729,,,,,,,,49721.0,110026.587
000001.SZ,19990730,,,,,,,,61695.0,136610.9244
000001.SZ,19990802,,,,,,,,153072.0,351601.2603
000001.SZ,19990803,,,,,,,,61872.0,141069.6352
000001.SZ,19990804,,,,,,,,73472.0,168734.0
000001.SZ,19990805,,,,,,,,63252.0,144141.4294
000001.SZ,19990806,,,,,,,,145697.0,323127.6297
000001.SZ,19990809,,,,,,,,61370.0,134855.633
000001.SZ,19990810,,,,,,,,77097.0,165959.6877
000001.SZ,19990811,,,,,,,,46490.0,99293.1877
000001.SZ,19990812,,,,,,,,43957.0,94148.1022
000001.SZ,19990813,,,,,,,,33069.0,70986.928
000001.SZ,19990817,,,,,,,,58507.0,129902.2538
000001.SZ,19990818,,,,,,,,28481.0,62075.7456
000001.SZ,19990819,,,,,,,,599385.0,1425243.4207
000001.SZ,19990820,,,,,,,,247206.0,592242.1445
000001.SZ,19990823,,,,,,,,147888.0,357432.3635
000001.SZ,19990824,,,,,,,,99694.0,241445.4364
000001.SZ,19990825,,,,,,,,114870.0,272619.1803
000001.SZ,19990826,,,,,,,,67137.0,159176.1925
000001.SZ,19990827,,,,,,,,117647.0,284498.804
000001.SZ,19990830,,,,,,,,329742.0,819565.8837
000001.SZ,19990831,,,,,,,,103713.0,255356.1802
000001.SZ,19990901,,,,,,,,124188.0,299408.9556
000001.SZ,19990902,,,,,,,,102706.0,243931.4166
000001.SZ,19990903,,,,,,,,69228.0,165695.9229
000001.SZ,19990906,,,,,,,,55058.0,129182.4643
000001.SZ,19990907,,,,,,,,45034.0,106983.059
000001.SZ,19990908,,,,,,,,42571.0,101826.0319
000001.SZ,19990909,,,,,,,,257715.0,644724.8533
000001.SZ,19990910,,,,,,,,182671.0,456115.63
000001.SZ,19990913,,,,,,,,75634.0,187346.1155
000001.SZ,19990914,,,,,,,,51584.0,127319.2494
000001.SZ,19990915,,,,,,,,66396.0,162420.3876
000001.SZ,19990916,,,,,,,,41999.0,102473.0222
000001.SZ,19990917,,,,,,,,60010.0,146043.1052
000001.SZ,19990920,,,,,,,,56198.0,135252.1622
000001.SZ,19990921,,,,,,,,89328.0,211724.7288
000001.SZ,19990922,,,,,,,,50267.0,119977.8332
000001.SZ,19990923,,,,,,,,75372.0,180967.6397
000001.SZ,19990924,,,,,,,,51895.0,125306.82
000001.SZ,19990927,,,,,,,,49144.0,117887.5894
000001.SZ,19990928,,,,,,,,53754.0,127047.6972
000001.SZ,19990929,,,,,,,,51255.9,122260.0089
000001.SZ,19990930,,,,,,,,63575.0,150422.1681
000001.SZ,19991008,,,,,,,,53419.0,121685.9131
000001.SZ,19991011,,,,,,,,29454.0,66079.1277
000001.SZ,19991012,,,,,,,,29144.0,65088.3202
000001.SZ,19991013,,,,,,,,39879.0,88021.0134
